Company_Name,Company_Age,CIBIL_Commercial_Score,GSTR_Declared_Revenue_Cr,Bank_Statement_Inflow_Cr,Litigation_Count,News_Sentiment_Score,Loan_Approved,Approved_Limit_Cr,Interest_Rate_Pct
"Gopal, Choudhry and Dayal",39,735,475.6,497.67,0,0.73,1,85.4,9.32
Narain and Sons,24,430,15.19,16.62,0,-0.39,0,0.0,0.0
Khosla Ltd,22,552,218.81,209.67,0,-0.09,0,0.0,0.0
"Tak, Chauhan and Sen",47,862,194.32,213.1,0,-0.97,0,0.0,0.0
Rao-Kaur,25,615,283.83,277.33,0,0.22,1,44.22,9.93
Balan LLC,35,505,198.58,185.96,0,-0.94,0,0.0,0.0
Hayer-Salvi,18,855,470.05,507.17,0,-0.91,0,0.0,0.0
Subramaniam-Sani,40,637,272.15,276.87,0,-0.67,0,0.0,0.0
Venkatesh Group,25,820,387.26,363.92,1,0.54,1,52.19,8.9
Sant-Dyal,39,340,457.91,489.97,0,0.33,0,0.0,0.0
Misra-Lanka,44,846,238.75,220.59,1,-0.01,1,41.94,8.77
Sachdeva-Kakar,15,853,222.47,209.2,0,-0.72,0,0.0,0.0
Patla and Sons,39,470,105.52,61.17,0,-0.41,0,0.0,0.0
Madan-Gera,6,327,113.13,111.24,0,0.81,0,0.0,0.0
Narain-Wagle,1,676,325.61,293.08,0,-0.03,1,48.26,11.12
Mishra Ltd,42,673,113.29,114.61,0,0.39,1,18.96,9.63
"Wadhwa, Merchant and Guha",37,380,137.06,150.12,0,0.36,0,0.0,0.0
Rao-Pal,44,715,298.38,152.44,0,0.97,0,0.0,0.0
Narasimhan Inc,22,810,49.69,53.02,0,0.36,1,7.24,8.95
Divan Inc,3,810,117.12,120.52,3,-0.72,0,0.0,0.0
Tiwari and Sons,28,772,108.49,109.39,5,0.03,0,0.0,0.0
Anand LLC,49,301,498.15,544.52,0,0.4,0,0.0,0.0
Halder LLC,16,430,428.88,740.02,1,0.34,0,0.0,0.0
"Walia, Chadha and Badami",35,411,55.23,57.04,0,0.3,0,0.0,0.0
"Merchant, Goyal and Sankar",41,460,13.95,13.93,1,-0.38,0,0.0,0.0
Brar PLC,48,759,256.86,409.68,0,0.81,0,0.0,0.0
Sehgal-Mammen,27,525,178.29,183.46,0,0.14,0,0.0,0.0
"Loyal, Salvi and Borah",49,811,92.67,100.83,0,0.86,1,17.52,8.95
Sankaran Group,31,398,490.26,448.62,0,-0.25,0,0.0,0.0
"Virk, Ghosh and Mital",42,865,349.53,561.87,0,0.04,0,0.0,0.0
Golla-Bhatnagar,2,403,350.02,177.76,1,0.73,0,0.0,0.0
Yadav and Sons,13,805,7.57,7.76,0,0.77,1,1.06,8.97
Wagle-Chokshi,34,350,235.47,237.48,0,0.65,0,0.0,0.0
